"BLeft","timeCount"
135,1.0
133,2.0
133,3.0
132,4.0
132,5.0
130,6.0
129,7.0
129,8.0
129,9.0
129,10.0
128,11.0
128,12.0
127,13.0
124,14.0
124,15.0
124,16.0
124,17.0
124,18.0
124,19.0
124,20.0
123,21.0
123,22.0
122,23.0
120,24.0
118,25.0
118,26.0
117,27.0
116,28.0
115,29.0
114,30.0
113,31.0
112,32.0
112,33.0
111,34.0
110,35.0
110,36.0
109,37.0
108,38.0
107,39.0
107,40.0
107,41.0
106,42.0
106,43.0
106,44.0
106,45.0
106,46.0
105,47.0
104,48.0
103,49.0
103,50.0
103,51.0
103,52.0
103,53.0
102,54.0
102,55.0
102,56.0
102,57.0
102,58.0
100,59.0
100,60.0
99,61.0
98,62.0
97,63.0
97,64.0
95,65.0
95,66.0
94,67.0
94,68.0
94,69.0
94,70.0
94,71.0
93,72.0
92,73.0
90,74.0
90,75.0
89,76.0
89,77.0
89,78.0
89,79.0
89,80.0
89,81.0
87,82.0
87,83.0
86,84.0
86,85.0
86,86.0
85,87.0
84,88.0
84,89.0
82,90.0
82,91.0
81,92.0
81,93.0
81,94.0
80,95.0
80,96.0
80,97.0
80,98.0
79,99.0
78,100.0
77,101.0
77,102.0
77,103.0
77,104.0
77,105.0
77,106.0
76,107.0
74,108.0
74,109.0
74,110.0
73,111.0
73,112.0
73,113.0
73,114.0
73,115.0
71,116.0
71,117.0
71,118.0
71,119.0
71,120.0
71,121.0
70,122.0
70,123.0
70,124.0
69,125.0
67,126.0
67,127.0
67,128.0
66,129.0
66,130.0
66,131.0
66,132.0
66,133.0
66,134.0
66,135.0
66,136.0
66,137.0
66,138.0
65,139.0
65,140.0
65,141.0
64,142.0
64,143.0
63,144.0
62,145.0
62,146.0
61,147.0
61,148.0
61,149.0
58,150.0
58,151.0
56,152.0
56,153.0
56,154.0
55,155.0
54,156.0
54,157.0
53,158.0
53,159.0
53,160.0
53,161.0
53,162.0
53,163.0
53,164.0
52,165.0
52,166.0
52,167.0
52,168.0
52,169.0
51,170.0
50,171.0
50,172.0
50,173.0
50,174.0
50,175.0
50,176.0
49,177.0
49,178.0
48,179.0
47,180.0
47,181.0
46,182.0
46,183.0
46,184.0
46,185.0
45,186.0
45,187.0
45,188.0
45,189.0
45,190.0
45,191.0
44,192.0
43,193.0
42,194.0
42,195.0
42,196.0
41,197.0
41,198.0
41,199.0
41,200.0
40,201.0
40,202.0
40,203.0
40,204.0
39,205.0
39,206.0
37,207.0
37,208.0
36,209.0
36,210.0
36,211.0
36,212.0
35,213.0
33,214.0
33,215.0
33,216.0
33,217.0
33,218.0
33,219.0
33,220.0
33,221.0
33,222.0
33,223.0
33,224.0
33,225.0
31,226.0
31,227.0
31,228.0
31,229.0
31,230.0
31,231.0
31,232.0
31,233.0
30,234.0
30,235.0
30,236.0
30,237.0
30,238.0
30,239.0
30,240.0
30,241.0
30,242.0
29,243.0
28,244.0
28,245.0
28,246.0
27,247.0
27,248.0
27,249.0
27,250.0
27,251.0
27,252.0
27,253.0
27,254.0
26,255.0
25,256.0
25,257.0
25,258.0
25,259.0
25,260.0
25,261.0
25,262.0
25,263.0
25,264.0
25,265.0
25,266.0
25,267.0
24,268.0
24,269.0
24,270.0
24,271.0
24,272.0
24,273.0
24,274.0
24,275.0
24,276.0
24,277.0
24,278.0
24,279.0
24,280.0
24,281.0
24,282.0
24,283.0
24,284.0
24,285.0
24,286.0
24,287.0
24,288.0
24,289.0
24,290.0
23,291.0
22,292.0
22,293.0
22,294.0
22,295.0
22,296.0
22,297.0
22,298.0
22,299.0
22,300.0
22,301.0
22,302.0
21,303.0
21,304.0
21,305.0
21,306.0
21,307.0
21,308.0
21,309.0
21,310.0
21,311.0
21,312.0
21,313.0
21,314.0
20,315.0
20,316.0
20,317.0
20,318.0
20,319.0
20,320.0
20,321.0
20,322.0
19,323.0
19,324.0
19,325.0
19,326.0
19,327.0
19,328.0
19,329.0
18,330.0
18,331.0
18,332.0
18,333.0
18,334.0
18,335.0
18,336.0
18,337.0
18,338.0
18,339.0
18,340.0
18,341.0
18,342.0
18,343.0
18,344.0
18,345.0
18,346.0
