"timestamp","killedDaughter"
0.0,203
1.0,191
2.0,185
3.0,178
4.0,174
5.0,165
6.0,160
7.0,162
8.0,171
9.0,179
10.0,172
11.0,166
12.0,166
13.0,177
14.0,176
15.0,175
16.0,176
17.0,178
18.0,176
19.0,181
20.0,182
21.0,177
22.0,180
23.0,175
24.0,173
25.0,170
26.0,163
27.0,165
28.0,160
29.0,167
30.0,162
31.0,164
32.0,164
33.0,162
34.0,163
35.0,161
36.0,163
37.0,166
38.0,169
39.0,169
40.0,170
41.0,164
42.0,172
43.0,168
44.0,159
45.0,159
46.0,156
47.0,155
48.0,145
49.0,146
50.0,144
51.0,148
52.0,152
53.0,168
54.0,173
55.0,174
56.0,173
57.0,171
58.0,165
59.0,161
60.0,157
61.0,156
62.0,158
63.0,156
64.0,156
65.0,147
66.0,151
67.0,173
68.0,173
69.0,173
70.0,171
71.0,171
72.0,171
73.0,169
74.0,167
75.0,163
76.0,161
77.0,160
78.0,156
79.0,153
80.0,148
81.0,149
82.0,169
83.0,167
84.0,168
85.0,170
86.0,170
87.0,167
88.0,165
89.0,162
90.0,158
91.0,165
92.0,166
93.0,162
94.0,150
95.0,146
96.0,144
97.0,131
98.0,124
99.0,118
100.0,115
101.0,112
102.0,111
103.0,99
104.0,93
105.0,92
106.0,91
107.0,90
108.0,91
109.0,87
110.0,92
111.0,92
112.0,92
113.0,91
114.0,95
115.0,97
116.0,95
117.0,95
118.0,95
119.0,95
120.0,94
121.0,95
122.0,98
123.0,97
124.0,99
125.0,99
126.0,99
127.0,99
128.0,99
129.0,99
130.0,99
131.0,99
132.0,98
133.0,97
134.0,94
135.0,93
136.0,91
137.0,90
138.0,93
139.0,93
140.0,93
141.0,93
142.0,91
143.0,91
144.0,88
145.0,84
146.0,82
147.0,82
148.0,84
149.0,84
150.0,81
151.0,89
152.0,91
153.0,81
154.0,79
155.0,78
156.0,78
157.0,78
158.0,78
159.0,78
160.0,78
161.0,78
162.0,78
163.0,77
164.0,72
165.0,68
166.0,66
167.0,65
168.0,63
169.0,68
170.0,66
171.0,78
172.0,75
173.0,66
174.0,62
175.0,62
176.0,61
177.0,61
178.0,58
179.0,58
180.0,61
181.0,60
182.0,62
183.0,60
184.0,59
185.0,58
186.0,57
187.0,50
188.0,41
189.0,44
190.0,37
191.0,39
192.0,37
193.0,45
194.0,44
195.0,42
196.0,52
197.0,49
198.0,45
199.0,45
200.0,45
201.0,47
202.0,47
203.0,50
204.0,46
205.0,44
206.0,43
207.0,43
208.0,43
209.0,43
210.0,43
211.0,43
212.0,43
213.0,43
214.0,43
215.0,43
216.0,43
217.0,43
218.0,42
219.0,42
220.0,41
221.0,40
222.0,40
223.0,40
224.0,40
225.0,39
226.0,40
227.0,41
228.0,41
229.0,41
230.0,41
231.0,43
232.0,43
233.0,43
234.0,43
235.0,43
236.0,42
237.0,42
238.0,42
239.0,42
240.0,42
241.0,40
242.0,41
243.0,41
244.0,41
245.0,41
246.0,41
247.0,41
248.0,41
249.0,41
250.0,41
251.0,41
252.0,41
253.0,41
254.0,40
255.0,40
256.0,40
257.0,39
258.0,39
259.0,39
260.0,41
261.0,41
262.0,41
263.0,41
264.0,41
265.0,41
266.0,41
267.0,41
268.0,41
269.0,41
270.0,41
271.0,41
272.0,41
273.0,41
274.0,41
275.0,41
276.0,41
277.0,41
278.0,41
279.0,41
280.0,41
281.0,41
282.0,41
283.0,41
284.0,41
285.0,41
286.0,41
287.0,41
288.0,41
289.0,41
290.0,41
291.0,41
292.0,41
293.0,41
294.0,41
295.0,41
296.0,41
297.0,41
