"timestamp","killedDaughter"
1.0,293
2.0,271
3.0,246
4.0,225
5.0,203
6.0,184
7.0,202
8.0,208
9.0,235
10.0,230
11.0,214
12.0,201
13.0,253
14.0,214
15.0,232
16.0,238
17.0,233
18.0,242
19.0,224
20.0,194
21.0,173
22.0,227
23.0,211
24.0,225
25.0,196
26.0,190
27.0,189
28.0,168
29.0,160
30.0,164
31.0,153
32.0,149
33.0,164
34.0,155
35.0,160
36.0,146
37.0,153
38.0,130
39.0,182
40.0,179
41.0,172
42.0,165
43.0,160
44.0,150
45.0,138
46.0,133
47.0,137
48.0,134
49.0,128
50.0,129
51.0,112
52.0,89
53.0,109
54.0,92
55.0,98
56.0,90
57.0,73
58.0,69
59.0,92
60.0,90
61.0,89
62.0,86
63.0,83
64.0,83
65.0,80
66.0,81
67.0,84
68.0,81
69.0,82
70.0,80
71.0,80
72.0,78
73.0,73
74.0,68
75.0,64
76.0,54
77.0,48
78.0,49
79.0,51
80.0,52
81.0,54
82.0,61
83.0,61
84.0,58
85.0,51
86.0,49
87.0,49
88.0,49
89.0,50
90.0,48
91.0,51
92.0,45
93.0,40
94.0,37
95.0,33
96.0,34
97.0,33
98.0,32
99.0,32
100.0,32
101.0,42
102.0,34
103.0,51
104.0,53
105.0,56
106.0,58
107.0,57
108.0,56
109.0,59
110.0,48
111.0,42
112.0,37
113.0,37
