"timestamp","killedDaughter"
1.0,380
2.0,288
3.0,211
4.0,141
5.0,105
6.0,84
7.0,134
8.0,97
9.0,92
10.0,90
11.0,75
12.0,49
13.0,66
14.0,75
15.0,41
16.0,28
17.0,28
18.0,19
19.0,16
20.0,12
21.0,10
22.0,25
23.0,25
24.0,22
25.0,26
26.0,40
27.0,35
28.0,35
29.0,37
30.0,36
31.0,35
32.0,37
33.0,34
34.0,34
35.0,25
36.0,16
37.0,16
38.0,17
39.0,16
40.0,16
41.0,16
42.0,16
43.0,16
44.0,16
45.0,16
46.0,16
47.0,16
48.0,16
49.0,5
50.0,2
51.0,2
52.0,2
53.0,1
54.0,0
55.0,4
56.0,4
57.0,3
58.0,1
59.0,1
60.0,1
61.0,1
62.0,1
63.0,1
64.0,1
65.0,1
66.0,1
67.0,1
68.0,1
69.0,1
70.0,1
71.0,1
72.0,1
73.0,1
74.0,1
75.0,0
76.0,0
77.0,0
78.0,0
79.0,0
80.0,0
81.0,1
82.0,1
83.0,1
84.0,0
85.0,0
86.0,0
87.0,0
88.0,0
89.0,0
90.0,0
91.0,0
92.0,0
93.0,0
94.0,0
95.0,0
96.0,0
97.0,0
98.0,0
99.0,0
100.0,0
