"timestamp","killedDaughter"
1.0,422
2.0,366
3.0,318
4.0,282
5.0,232
6.0,192
7.0,248
8.0,298
9.0,247
10.0,207
11.0,237
12.0,220
13.0,244
14.0,241
15.0,254
16.0,239
17.0,199
18.0,204
19.0,205
20.0,165
21.0,148
22.0,161
23.0,156
24.0,163
25.0,152
26.0,175
27.0,202
28.0,174
29.0,169
30.0,171
31.0,175
32.0,184
33.0,174
34.0,145
35.0,125
36.0,119
37.0,107
38.0,83
39.0,93
40.0,94
41.0,79
42.0,110
43.0,110
44.0,97
45.0,84
46.0,72
47.0,63
48.0,55
49.0,49
50.0,62
51.0,60
52.0,52
53.0,45
54.0,36
55.0,44
56.0,44
57.0,50
58.0,39
59.0,35
60.0,33
61.0,31
62.0,28
63.0,17
64.0,33
65.0,34
66.0,34
67.0,32
68.0,28
69.0,13
70.0,24
71.0,20
72.0,10
73.0,27
74.0,30
75.0,34
76.0,34
77.0,34
78.0,33
79.0,33
80.0,29
81.0,27
82.0,23
83.0,4
84.0,2
85.0,2
86.0,3
87.0,3
88.0,3
89.0,4
90.0,5
91.0,4
92.0,3
93.0,3
94.0,1
95.0,1
96.0,1
97.0,1
98.0,1
99.0,1
100.0,1
101.0,1
102.0,0
103.0,0
104.0,0
105.0,0
106.0,0
107.0,0
108.0,0
109.0,0
110.0,0
111.0,0
112.0,0
113.0,0
114.0,0
115.0,0
116.0,0
117.0,0
118.0,0
119.0,0
120.0,0
121.0,0
122.0,0
123.0,0
124.0,0
125.0,0
126.0,0
127.0,0
128.0,0
129.0,0
