"timestamp","killedDaughter"
1.0,311
2.0,255
3.0,206
4.0,161
5.0,123
6.0,95
7.0,218
8.0,195
9.0,177
10.0,156
11.0,143
12.0,116
13.0,146
14.0,134
15.0,119
16.0,104
17.0,89
18.0,87
19.0,88
20.0,80
21.0,86
22.0,64
23.0,47
24.0,44
25.0,50
26.0,47
27.0,35
28.0,26
29.0,27
30.0,21
31.0,40
32.0,46
33.0,71
34.0,78
35.0,75
36.0,61
37.0,9
38.0,10
39.0,10
40.0,12
41.0,9
42.0,9
43.0,8
44.0,8
45.0,8
46.0,8
47.0,8
48.0,8
49.0,9
50.0,7
51.0,7
52.0,7
53.0,7
54.0,6
55.0,5
56.0,5
57.0,5
58.0,5
59.0,3
60.0,4
61.0,4
62.0,4
63.0,3
64.0,3
65.0,4
66.0,4
67.0,3
68.0,3
69.0,3
70.0,3
71.0,2
72.0,1
73.0,1
74.0,1
75.0,1
76.0,1
77.0,1
78.0,1
79.0,1
80.0,1
81.0,1
82.0,1
83.0,1
84.0,1
85.0,1
86.0,1
87.0,1
88.0,1
89.0,1
90.0,1
91.0,1
92.0,1
93.0,1
94.0,1
95.0,0
96.0,0
97.0,0
98.0,0
99.0,0
100.0,0
101.0,1
102.0,1
103.0,1
104.0,1
105.0,1
106.0,1
107.0,1
108.0,1
109.0,1
110.0,1
111.0,1
112.0,1
113.0,1
114.0,1
115.0,1
116.0,1
117.0,1
118.0,1
119.0,1
120.0,1
121.0,1
122.0,1
123.0,1
124.0,1
125.0,1
126.0,1
127.0,1
128.0,1
129.0,1
130.0,1
0.0,401
