"timestamp","killedDaughter"
1.0,92
2.0,88
3.0,87
4.0,87
5.0,84
6.0,82
7.0,80
8.0,83
9.0,80
10.0,77
11.0,79
12.0,80
13.0,86
14.0,87
15.0,87
16.0,84
17.0,86
18.0,84
19.0,84
20.0,84
21.0,84
22.0,87
23.0,87
24.0,85
25.0,84
26.0,80
27.0,79
28.0,77
29.0,77
30.0,83
31.0,84
32.0,87
33.0,84
34.0,82
35.0,81
36.0,78
37.0,76
38.0,77
39.0,74
40.0,72
41.0,73
42.0,74
43.0,75
44.0,75
45.0,76
46.0,76
47.0,76
48.0,74
49.0,72
50.0,71
51.0,74
52.0,74
53.0,74
54.0,74
55.0,74
56.0,76
57.0,77
58.0,77
59.0,77
60.0,77
61.0,74
62.0,77
63.0,77
64.0,77
65.0,74
66.0,73
67.0,70
68.0,71
69.0,69
70.0,65
71.0,71
72.0,71
73.0,73
74.0,72
75.0,71
76.0,71
77.0,70
78.0,70
79.0,72
80.0,69
81.0,68
82.0,66
83.0,68
84.0,67
85.0,62
86.0,66
87.0,62
88.0,73
89.0,73
90.0,72
91.0,73
92.0,70
93.0,70
94.0,62
95.0,54
96.0,70
97.0,68
98.0,71
99.0,66
100.0,61
101.0,54
102.0,54
103.0,62
104.0,60
105.0,60
106.0,59
107.0,62
108.0,59
109.0,60
110.0,61
111.0,61
112.0,61
113.0,61
114.0,61
115.0,61
116.0,60
117.0,59
118.0,59
119.0,58
120.0,57
121.0,56
122.0,59
123.0,61
124.0,57
125.0,55
126.0,58
127.0,59
128.0,59
129.0,58
130.0,58
131.0,59
132.0,52
133.0,52
134.0,52
135.0,52
136.0,49
137.0,49
138.0,51
139.0,51
140.0,51
141.0,51
142.0,51
143.0,50
144.0,49
145.0,47
146.0,45
147.0,43
148.0,42
149.0,39
150.0,39
151.0,40
152.0,49
153.0,49
154.0,50
155.0,50
156.0,50
157.0,50
158.0,50
159.0,49
160.0,49
161.0,49
162.0,49
163.0,49
164.0,49
165.0,50
166.0,50
167.0,50
168.0,50
169.0,50
170.0,50
171.0,50
172.0,50
173.0,50
174.0,50
175.0,50
176.0,50
177.0,50
178.0,50
179.0,50
180.0,50
181.0,50
182.0,50
183.0,50
184.0,50
185.0,50
186.0,50
187.0,50
188.0,50
189.0,49
190.0,49
191.0,49
192.0,49
193.0,49
194.0,45
195.0,46
196.0,46
197.0,46
198.0,46
199.0,46
200.0,46
201.0,44
202.0,43
203.0,43
204.0,43
205.0,43
206.0,43
207.0,44
208.0,44
209.0,44
210.0,43
211.0,43
212.0,43
213.0,40
214.0,40
215.0,40
216.0,42
217.0,42
218.0,42
219.0,44
220.0,44
221.0,44
222.0,43
223.0,43
224.0,43
225.0,43
226.0,43
227.0,43
228.0,44
229.0,43
230.0,41
231.0,38
232.0,37
233.0,35
234.0,35
235.0,36
236.0,39
237.0,37
238.0,36
239.0,36
240.0,36
241.0,36
242.0,36
243.0,36
244.0,36
245.0,36
246.0,36
247.0,36
248.0,36
249.0,35
250.0,35
251.0,35
252.0,35
253.0,35
254.0,35
255.0,35
256.0,35
257.0,35
258.0,35
259.0,33
260.0,33
261.0,33
262.0,33
263.0,33
264.0,31
265.0,32
266.0,32
267.0,32
268.0,32
269.0,32
270.0,33
271.0,33
272.0,33
273.0,33
274.0,33
275.0,33
276.0,33
277.0,33
278.0,33
279.0,33
280.0,33
281.0,33
282.0,33
283.0,33
284.0,33
285.0,33
286.0,33
287.0,33
288.0,33
289.0,32
290.0,32
291.0,32
292.0,32
293.0,32
294.0,32
295.0,33
296.0,33
297.0,33
298.0,33
299.0,33
300.0,33
301.0,33
302.0,33
303.0,33
304.0,33
305.0,33
306.0,33
307.0,33
308.0,33
309.0,33
310.0,33
311.0,33
312.0,33
313.0,33
314.0,33
315.0,33
316.0,33
317.0,33
318.0,33
319.0,33
320.0,33
321.0,33
322.0,33
323.0,33
324.0,33
325.0,33
326.0,33
327.0,33
328.0,33
329.0,33
330.0,33
331.0,33
332.0,33
333.0,33
334.0,33
335.0,33
336.0,33
337.0,33
338.0,33
339.0,33
340.0,31
341.0,31
342.0,31
343.0,31
344.0,31
345.0,31
346.0,32
347.0,31
348.0,29
349.0,29
350.0,29
351.0,29
352.0,29
353.0,33
354.0,33
355.0,32
356.0,32
357.0,31
358.0,31
359.0,30
360.0,28
361.0,32
362.0,30
363.0,26
364.0,24
365.0,24
366.0,24
367.0,24
368.0,24
369.0,24
370.0,24
371.0,24
372.0,24
373.0,24
374.0,24
375.0,24
376.0,24
377.0,24
378.0,24
379.0,24
380.0,24
381.0,24
382.0,24
383.0,24
384.0,24
385.0,24
386.0,24
387.0,24
388.0,24
389.0,24
390.0,24
391.0,24
392.0,24
393.0,24
394.0,24
395.0,24
396.0,22
397.0,21
398.0,21
399.0,21
400.0,21
401.0,18
402.0,17
403.0,19
404.0,18
405.0,18
406.0,13
407.0,13
408.0,19
409.0,20
410.0,17
411.0,16
412.0,17
413.0,17
414.0,17
415.0,17
416.0,16
417.0,15
418.0,15
419.0,15
420.0,15
421.0,15
422.0,15
423.0,15
424.0,15
425.0,15
426.0,15
427.0,15
428.0,15
429.0,15
430.0,15
431.0,15
432.0,15
433.0,15
434.0,15
435.0,15
436.0,15
437.0,15
438.0,15
439.0,15
440.0,14
441.0,14
442.0,14
443.0,14
444.0,14
445.0,14
446.0,14
447.0,14
448.0,12
449.0,12
450.0,11
451.0,6
452.0,4
453.0,3
454.0,13
455.0,13
456.0,13
457.0,13
458.0,13
459.0,13
460.0,14
461.0,14
462.0,14
463.0,14
464.0,14
465.0,13
466.0,13
467.0,13
468.0,13
469.0,13
470.0,13
471.0,13
472.0,13
473.0,13
474.0,13
475.0,13
476.0,13
477.0,13
478.0,13
479.0,13
480.0,13
481.0,13
482.0,13
483.0,13
