"timestamp","killedDaughter"
1.0,494
2.0,334
3.0,207
4.0,118
5.0,79
6.0,50
7.0,84
8.0,116
9.0,91
10.0,95
11.0,61
12.0,59
13.0,53
14.0,41
15.0,29
16.0,29
17.0,38
18.0,40
19.0,28
20.0,24
21.0,30
22.0,37
23.0,35
24.0,31
25.0,29
26.0,23
27.0,21
28.0,16
29.0,14
30.0,17
31.0,18
32.0,13
33.0,14
34.0,13
35.0,14
36.0,14
37.0,13
38.0,17
39.0,17
40.0,16
41.0,16
42.0,16
43.0,16
44.0,13
45.0,12
46.0,13
47.0,13
48.0,13
49.0,13
50.0,2
51.0,2
52.0,2
53.0,2
54.0,2
55.0,2
56.0,0
57.0,0
58.0,0
59.0,0
60.0,0
61.0,0
62.0,0
63.0,0
64.0,0
65.0,0
66.0,0
67.0,0
68.0,0
69.0,0
70.0,0
71.0,0
72.0,0
73.0,0
74.0,0
75.0,0
76.0,0
77.0,0
78.0,0
79.0,0
80.0,0
81.0,0
82.0,0
83.0,0
84.0,0
85.0,0
86.0,0
87.0,0
88.0,0
