"timestamp","killedDaughter"
64.0,0
65.0,0
66.0,0
67.0,0
68.0,0
69.0,0
70.0,0
71.0,0
72.0,0
73.0,0
74.0,0
75.0,0
76.0,0
77.0,0
78.0,0
79.0,0
80.0,0
81.0,0
82.0,0
83.0,0
84.0,0
85.0,0
86.0,0
87.0,0
88.0,0
89.0,0
90.0,0
91.0,0
92.0,0
93.0,0
94.0,0
95.0,0
96.0,0
97.0,0
98.0,0
99.0,0
100.0,0
101.0,0
102.0,0
103.0,0
104.0,0
105.0,0
106.0,0
107.0,0
108.0,0
109.0,0
110.0,0
111.0,0
112.0,0
113.0,0
114.0,0
115.0,0
116.0,0
117.0,0
118.0,0
119.0,0
120.0,0
121.0,0
122.0,0
123.0,0
124.0,0
125.0,0
126.0,0
127.0,0
128.0,0
129.0,0
130.0,0
131.0,0
132.0,0
133.0,0
134.0,0
135.0,0
136.0,0
137.0,0
138.0,0
139.0,0
140.0,0
0.0,500
1.0,360
2.0,256
3.0,187
4.0,141
5.0,111
6.0,86
7.0,129
8.0,145
9.0,89
10.0,73
11.0,57
12.0,63
13.0,60
14.0,70
15.0,78
16.0,55
17.0,35
18.0,35
19.0,45
20.0,25
21.0,27
22.0,14
23.0,7
24.0,3
25.0,4
26.0,29
27.0,11
28.0,18
29.0,7
30.0,16
31.0,5
32.0,5
33.0,3
34.0,13
35.0,4
36.0,10
37.0,8
38.0,6
39.0,4
40.0,3
41.0,3
42.0,3
43.0,3
44.0,3
45.0,6
46.0,5
47.0,3
48.0,2
49.0,2
50.0,2
51.0,2
52.0,2
53.0,2
54.0,1
55.0,1
56.0,1
57.0,0
58.0,0
59.0,0
60.0,0
61.0,0
62.0,0
63.0,1
64.0,1
65.0,1
66.0,0
67.0,0
68.0,0
69.0,0
70.0,0
71.0,0
72.0,0
73.0,0
74.0,0
75.0,0
76.0,0
77.0,0
78.0,0
79.0,0
80.0,0
81.0,0
82.0,0
83.0,0
84.0,0
85.0,0
86.0,0
87.0,0
88.0,0
89.0,0
90.0,0
91.0,0
92.0,0
93.0,0
94.0,0
95.0,0
96.0,0
97.0,0
98.0,0
99.0,0
100.0,0
101.0,0
102.0,0
103.0,0
104.0,0
105.0,0
106.0,0
107.0,0
108.0,0
109.0,0
110.0,0
111.0,0
112.0,0
113.0,0
114.0,0
115.0,0
116.0,0
117.0,0
118.0,0
119.0,0
120.0,0
121.0,0
122.0,0
123.0,0
124.0,0
125.0,0
126.0,0
127.0,0
128.0,0
129.0,0
130.0,0
131.0,0
132.0,0
133.0,0
134.0,0
135.0,0
136.0,0
137.0,0
138.0,0
139.0,0
140.0,0
141.0,0
142.0,0
143.0,0
144.0,0
145.0,0
146.0,0
147.0,0
148.0,0
149.0,0
150.0,0
151.0,0
152.0,0
153.0,0
154.0,0
155.0,0
156.0,0
157.0,0
158.0,0
159.0,0
160.0,0
161.0,0
162.0,0
163.0,0
164.0,0
165.0,0
166.0,0
167.0,0
168.0,0
169.0,0
170.0,0
171.0,0
172.0,0
173.0,0
174.0,0
175.0,0
176.0,0
177.0,0
178.0,0
179.0,0
180.0,0
181.0,0
182.0,0
183.0,0
184.0,0
185.0,0
186.0,0
187.0,0
188.0,0
189.0,0
190.0,0
191.0,0
192.0,0
193.0,0
194.0,0
195.0,0
196.0,0
197.0,0
198.0,0
199.0,0
200.0,0
201.0,0
202.0,0
203.0,0
204.0,0
205.0,0
206.0,0
207.0,0
208.0,0
209.0,0
210.0,0
211.0,0
1.0,382
2.0,268
3.0,175
4.0,117
5.0,84
6.0,60
7.0,77
8.0,80
9.0,61
10.0,48
11.0,43
12.0,27
13.0,50
14.0,60
15.0,36
16.0,57
17.0,46
18.0,31
19.0,22
20.0,18
21.0,26
22.0,23
23.0,18
24.0,15
25.0,20
26.0,22
27.0,8
28.0,12
29.0,13
30.0,13
31.0,12
32.0,5
33.0,14
34.0,14
35.0,11
36.0,6
37.0,4
38.0,16
