"timestamp","killedDaughter"
0.0,500
0.0,500
1.0,394
2.0,325
3.0,246
4.0,186
5.0,116
6.0,81
7.0,191
8.0,204
9.0,229
10.0,165
11.0,139
12.0,115
13.0,93
14.0,131
15.0,231
16.0,195
17.0,144
18.0,116
19.0,102
20.0,172
21.0,124
22.0,167
23.0,156
24.0,146
25.0,79
26.0,52
27.0,75
28.0,72
29.0,53
30.0,44
31.0,51
32.0,68
33.0,46
34.0,38
35.0,50
36.0,39
37.0,42
38.0,29
39.0,26
40.0,27
41.0,28
42.0,21
43.0,22
44.0,39
45.0,36
46.0,24
47.0,22
48.0,21
49.0,21
50.0,21
51.0,21
52.0,18
53.0,15
54.0,25
55.0,25
56.0,23
57.0,23
58.0,25
59.0,23
60.0,24
61.0,23
62.0,23
63.0,21
64.0,21
65.0,22
66.0,22
67.0,22
68.0,21
69.0,21
70.0,21
71.0,21
72.0,21
73.0,21
74.0,20
75.0,20
76.0,20
77.0,20
78.0,20
79.0,20
80.0,20
81.0,20
82.0,20
83.0,20
84.0,20
85.0,20
86.0,20
87.0,20
88.0,20
89.0,20
90.0,20
91.0,20
92.0,19
93.0,19
94.0,19
95.0,19
96.0,19
97.0,19
98.0,19
99.0,19
100.0,19
101.0,19
102.0,19
103.0,19
104.0,19
105.0,19
106.0,19
107.0,19
108.0,19
109.0,19
110.0,19
111.0,19
112.0,19
113.0,19
114.0,19
115.0,19
116.0,19
117.0,19
118.0,19
119.0,19
120.0,19
121.0,19
122.0,8
123.0,7
124.0,6
125.0,5
126.0,5
127.0,2
