"timestamp","killedDaughter"
1.0,345
2.0,333
3.0,328
4.0,322
5.0,318
6.0,313
7.0,330
8.0,325
9.0,318
10.0,329
11.0,315
12.0,306
13.0,313
14.0,331
15.0,316
16.0,304
17.0,304
18.0,302
19.0,303
20.0,298
21.0,299
22.0,300
23.0,298
24.0,290
25.0,289
26.0,307
27.0,305
28.0,325
29.0,321
30.0,328
31.0,330
32.0,326
33.0,325
34.0,325
35.0,314
36.0,310
37.0,312
38.0,294
39.0,303
40.0,310
41.0,311
42.0,307
43.0,295
44.0,298
45.0,300
46.0,323
47.0,321
48.0,297
49.0,285
50.0,311
51.0,307
52.0,320
53.0,316
54.0,325
55.0,322
56.0,316
57.0,287
58.0,283
59.0,281
60.0,292
61.0,285
62.0,289
63.0,292
64.0,297
65.0,317
66.0,333
67.0,326
68.0,318
69.0,309
70.0,303
71.0,302
72.0,311
73.0,315
74.0,313
75.0,310
76.0,305
77.0,297
78.0,295
79.0,296
80.0,290
81.0,288
82.0,299
83.0,281
84.0,276
85.0,274
86.0,271
87.0,278
88.0,292
89.0,293
90.0,297
91.0,299
92.0,297
93.0,297
94.0,297
95.0,297
96.0,297
97.0,295
98.0,293
99.0,292
100.0,289
101.0,281
102.0,276
103.0,289
104.0,289
105.0,285
106.0,282
107.0,270
108.0,272
109.0,268
110.0,264
111.0,281
112.0,270
113.0,261
114.0,257
115.0,255
116.0,276
117.0,273
118.0,268
119.0,251
120.0,247
121.0,219
122.0,218
123.0,239
124.0,224
125.0,248
126.0,238
127.0,237
128.0,236
129.0,239
130.0,234
131.0,265
132.0,255
133.0,244
134.0,254
135.0,250
136.0,239
137.0,232
138.0,237
139.0,242
140.0,240
141.0,271
142.0,271
143.0,270
144.0,260
145.0,284
146.0,283
147.0,283
148.0,282
149.0,268
150.0,257
151.0,252
152.0,232
153.0,216
154.0,217
155.0,273
156.0,260
157.0,254
158.0,218
159.0,188
160.0,187
161.0,264
162.0,267
163.0,262
164.0,254
165.0,251
166.0,227
167.0,205
168.0,202
169.0,249
170.0,253
171.0,269
172.0,264
173.0,262
174.0,251
175.0,249
176.0,247
177.0,247
178.0,249
179.0,264
180.0,264
181.0,264
182.0,263
183.0,261
184.0,261
185.0,248
186.0,223
187.0,215
188.0,216
189.0,216
190.0,234
191.0,252
192.0,252
193.0,252
194.0,252
195.0,252
196.0,251
197.0,257
198.0,257
199.0,255
200.0,251
201.0,251
202.0,255
203.0,254
204.0,251
205.0,241
206.0,213
207.0,213
208.0,213
209.0,212
210.0,219
211.0,228
212.0,228
213.0,225
214.0,225
215.0,219
216.0,215
217.0,212
218.0,212
219.0,213
220.0,212
221.0,213
222.0,214
223.0,214
224.0,214
225.0,216
226.0,216
227.0,217
228.0,216
229.0,216
230.0,216
231.0,214
232.0,200
233.0,216
234.0,217
235.0,217
236.0,217
237.0,219
238.0,219
239.0,219
240.0,219
241.0,216
242.0,213
243.0,211
244.0,205
245.0,202
246.0,171
247.0,157
248.0,141
249.0,132
250.0,164
251.0,135
252.0,119
253.0,116
254.0,161
255.0,162
256.0,162
257.0,161
258.0,162
259.0,161
260.0,161
261.0,161
262.0,161
263.0,161
264.0,149
265.0,162
266.0,162
267.0,162
268.0,162
269.0,162
270.0,162
271.0,162
272.0,162
273.0,162
274.0,162
275.0,162
276.0,162
277.0,161
278.0,161
279.0,161
280.0,160
281.0,160
282.0,153
283.0,151
284.0,149
285.0,147
286.0,149
287.0,146
288.0,157
289.0,155
290.0,160
291.0,158
292.0,154
293.0,153
294.0,151
295.0,149
296.0,146
297.0,150
298.0,156
299.0,155
300.0,155
301.0,155
302.0,159
303.0,159
304.0,159
305.0,160
306.0,160
307.0,160
308.0,157
309.0,154
310.0,154
311.0,154
312.0,154
313.0,151
314.0,149
315.0,157
316.0,151
317.0,148
318.0,141
319.0,138
320.0,158
321.0,157
322.0,157
323.0,155
324.0,157
325.0,157
326.0,155
327.0,160
328.0,160
329.0,160
330.0,160
331.0,160
332.0,159
333.0,154
334.0,154
335.0,154
336.0,153
337.0,151
338.0,153
339.0,158
340.0,158
341.0,158
342.0,158
343.0,160
344.0,160
345.0,157
346.0,157
347.0,157
348.0,156
349.0,155
350.0,153
351.0,158
352.0,158
353.0,158
354.0,157
355.0,157
356.0,153
357.0,151
358.0,149
359.0,149
360.0,150
361.0,152
362.0,153
363.0,151
364.0,158
365.0,157
366.0,155
367.0,153
368.0,151
369.0,155
370.0,158
371.0,159
372.0,159
373.0,159
374.0,159
375.0,160
376.0,158
377.0,157
378.0,155
379.0,155
380.0,149
381.0,147
382.0,148
383.0,147
