"timestamp","killedDaughter"
1.0,419
2.0,376
3.0,320
4.0,279
5.0,251
6.0,226
7.0,309
8.0,342
9.0,304
10.0,276
11.0,262
12.0,228
13.0,206
14.0,217
15.0,220
16.0,251
17.0,233
18.0,296
19.0,282
20.0,253
21.0,248
22.0,268
23.0,260
24.0,235
25.0,224
26.0,212
27.0,247
28.0,238
29.0,245
30.0,262
31.0,247
32.0,211
33.0,217
34.0,190
35.0,147
36.0,190
37.0,173
38.0,146
39.0,138
40.0,172
41.0,168
42.0,164
43.0,157
44.0,146
45.0,139
46.0,156
47.0,145
48.0,150
49.0,154
50.0,145
51.0,137
52.0,125
53.0,114
54.0,110
55.0,118
56.0,108
57.0,111
58.0,101
59.0,105
60.0,109
61.0,112
62.0,108
63.0,103
64.0,106
65.0,100
66.0,88
67.0,81
68.0,79
69.0,94
70.0,93
71.0,89
72.0,89
73.0,87
74.0,82
75.0,80
76.0,80
77.0,85
78.0,100
79.0,99
80.0,99
81.0,89
82.0,83
83.0,77
84.0,73
85.0,56
86.0,40
87.0,71
88.0,73
89.0,75
90.0,74
91.0,74
92.0,82
93.0,78
94.0,77
95.0,74
96.0,64
97.0,45
98.0,48
99.0,65
100.0,77
101.0,85
102.0,85
103.0,85
104.0,85
105.0,85
106.0,85
107.0,85
108.0,80
109.0,76
110.0,69
111.0,64
